russian,ingush,definition,source
нет,а́,,ingush_dictionary_full.txt
да,а,,ingush_dictionary_full.txt
или,а,,ingush_dictionary_full.txt
(отрицательное) нет,a,,ingush_dictionary_full.txt
ревматизм,а,,ingush_dictionary_full.txt
даже,а,,ingush_dictionary_full.txt
также,а,,ingush_dictionary_full.txt
и,а,,ingush_dictionary_full.txt
разве (вопр.),а,,ingush_dictionary_full.txt
спазм,а о́ттар,,ingush_dictionary_full.txt
а,а,,ingush_dictionary_full.txt
халат (который носят духовные лица),аба,,ingush_dictionary_full.txt
балахон,а́ба,,ingush_dictionary_full.txt
халат,а́ба,,ingush_dictionary_full.txt
мужской халат; традиционная одежда арабов,аба,,ingush_dictionary_full.txt
верхнее платье,abæ,,ingush_dictionary_full.txt
длинная одежда,аба,,ingush_dictionary_full.txt
вечность без конца,абаде,,ingush_dictionary_full.txt
вечность,абади,,ingush_dictionary_full.txt
Судный День,Æbædi-di,,ingush_dictionary_full.txt
20 копеечная монета,abæz,,ingush_dictionary_full.txt
черсий цхьан тукхама нах.,абазо,,ingush_dictionary_full.txt
абазинец,абазо,,ingush_dictionary_full.txt
имя (мужское),Æbæli,,ingush_dictionary_full.txt
букварь,абат,,ingush_dictionary_full.txt
азбука,абат,,ingush_dictionary_full.txt
азбучный,абата,,ingush_dictionary_full.txt
абелам (Австралия и Океания),абелме,,ingush_dictionary_full.txt
абазинец (Кавказ),абзо,,ingush_dictionary_full.txt
абазинка,абзо,,ingush_dictionary_full.txt
абазинский,абзой,,ingush_dictionary_full.txt
по-абазински,абзошха,,ingush_dictionary_full.txt
обоз,æboz,,ingush_dictionary_full.txt
абунг (Азия),абунге,,ingush_dictionary_full.txt
Къулбехьерча Кавказера къаман нах. Вошал черсашца да.,абха́з,,ingush_dictionary_full.txt
абхазец,абхаз,,ingush_dictionary_full.txt
Абхазия,Абха́зехье,,ingush_dictionary_full.txt
абхаз,абха́зо,,ingush_dictionary_full.txt
абхазец (Кавказ),абхазо,,ingush_dictionary_full.txt
абхазка,абха́зо,,ingush_dictionary_full.txt
абхазский,абха́зой,,ingush_dictionary_full.txt
по-абхазски,абхазошха,,ingush_dictionary_full.txt
августовский,августовски,,ingush_dictionary_full.txt
авиамодельный,авиамодельни,,ingush_dictionary_full.txt
авиационный,авиационни,,ingush_dictionary_full.txt
австралийский,австралийски,,ingush_dictionary_full.txt
Австралия,Avstralija,,ingush_dictionary_full.txt
австралиец (Австралия и Океания),австралхо,,ingush_dictionary_full.txt
австрийский,австрийски,,ingush_dictionary_full.txt
Австрия,Avstrija,,ingush_dictionary_full.txt
автономия,avtanomi,,ingush_dictionary_full.txt
автобиография,avtobiografija,,ingush_dictionary_full.txt
